Model,Accuracy,Precision,Recall,F1 Score
Optimized Random Forest,0.7985,0.7074981440237565,0.9906444906444907,0.8254655695106107
Random Forest,0.7845,0.7066147859922179,0.9438669438669439,0.8081886960391633
XGBoost,0.7735,0.705407586763519,0.9085239085239085,0.7941844616083599
Decision Tree,0.714,0.7092274678111588,0.6871101871101871,0.6979936642027456
Logistic Regression,0.6845,0.6887115165336374,0.6278586278586279,0.6568787384448069
Bi-LSTM,0.4914914914914915,0.4665012406947891,0.3908523908523909,0.4253393665158371
Autoencoder,0.5275,0.586,0.060902099355643315,0.11033703633967237
